channel_name,title,description,views,likes,comments
Govind f6 shorts ,@Gaming_Dushyant &amp; Watch Granny 4 Full Gameplay #dushyantk...HomeShorts(+),,35792208,227643,218
Pyare Gamer S,3 finger handcam gameplay solo vs squad poco x3 pro 60fps 120hz 360hz game turbo SD860 Prosecser 4kr,,33774122,917925,1001
thelovelyhorrorshow,Hunger Games — Block Edition ⚔️,"In the world of the Block Monsters, hunger is the only law. Two groups of blocks have built their towers next to each other.",138336920,1177740,919
Hassni Gaming 10 two ,Granny Horror Game 😱 | Spider-Man 🕷️ vs Granny 😂 Gameplay Ep 24,,11582592,0,0
Techno Gamerz,I PLAYED GTA 6 FANMADES,Samsung #GalaxyZFold7 #UltraSleek #GalaxyAI Know more about Galaxy Z Fold7 ...,10366986,351322,34136
Mahin Gamerz ,granny game 🎯 #granny #gaming  #horrorgaming,granny game #granny #gaming #horrorgaming.,6778187,52097,168
Pradeep Gaming,Granny multiplayer revenge #granny #gaming #funny #games #unluckytortol  #grannygame #shortsfeed,Granny multiplayer revenge #granny #gaming #funny #games #unluckytortol #grannygame #shortsfeed.,2140285,19650,62
AbHi GaMiNg,New Blue Mercedes G63 For Parking - 3d Driving Class android game || Car Game #gameplay #cargame,New Blue Mercedes G63 For Parking - 3d Driving Class android game || Car Game #gameplay #cargame 3d Driving Class ...,11867258,0,570
Sap Gaming,GTA 5 Live Hulk Mod Gameplay 338 | SAP Gaming #viral #gameplay #gaming #gta #gta5,Join this channel to get access to perks: https://www.youtube.com/channel/UCumtR44SXLgU3z78KbElfLA/join Plays all types of ...,43966,123,0
Pyare Gamer S,3 finger handcam gameplay solo vs squad poco x3 pro 60fps 120hz 360hz game turbo SD860 Prosecser 4kr,,18451065,291458,461
theGamingSky,The Best Vampire Game Ever - Vampyr Combat Gameplay,gaming #vampyr #vampyrgameplay #shorts #2024 #viral #trendingshorts #viralshorts.,839901,12861,491
Black      444     YT,PERFACT DRAIG🎯,"Welcome to Black 444 YT – Your Ultimate Free Fire Gaming Hub! Agar tum Free Fire ke epic moments, headshots, AWM sniper ...",16553022,203236,590
Panda,Panda&#39;s Luck in Pubg 😥,"""Panda's Luck in Pubg "" Have you had luck this bad in pubg mobile / bgmi? #pubg #pubgmobile #bgmi :Youtube Banza.",7596459,204371,371
POCO CX ,I PHONE 14 handcam gameplay 3 finger movement ☠️🚀,Want to dominate YouTube with your gaming channel in 2025? Unlock the fastest way to grow a gaming channel with our ...,861326,0,148
CrashWizards,Hope you enjoyed the video❤️ #beamng #beamngdrive #game #gameplay #gaming #beamngcrash,I don't mind if they don't follow me.,36734714,670733,1036
THE HIYAA GAMING ,Scania truck driving 4K video | Truck Simulator Ultimate #game #games #truck #simulator #gameplay,,3735974,22325,91
Alighters,Total Gaming’s Biggest Mistake 🤮,How one mistake ruined Total Gaming's reputation. #Shorts #TotalGaming #Ajjubhai #GamingNews #FreeFire #FreeFireBan ...,5597447,109682,3827
Protoshi,How to Build Gaming | v4.4 Genshin Impact,[WELCOME] Sup peeps it's Protoshi! Welcome to the channel! [THANKS FOR YOUR SUPPORT] Thank you for watching my ...,363332,24368,240
Tonde Gamer,1 Goli Only Cheen Tapak Dum Dum 😋 #shorts #freefire #tondegamer,X Link ( Twitter ) https://x.com/TondeGamer Instagram: https://www.instagram.com/tondeofficial/ Discord: ...,13043477,407324,986
SB MAAZ YT,4 FINGER HANDCAM GAMEPLAY  SOLO VS SQUAD IPHONE 7 PLUS #freefire​ #freefiremax​ #freefireindia,,1352083,14119,86
Mikolojim,Going Balls - Legendary move - #4kgameplay #gaming #rollerball4 #ballgame #games #gameplay #funny,Going Balls is a challenging rolling ball platformer with a road full of unexpected obstacles ahead of you! Easy one-finger ball ...,1541219,5161,16
Live Insaan,I was Possessed by a Jinn (iBlis 3 Horror Gameplay),"Today we are playing iblis 3 Horror Game, this was actually spooky. Like and Sub. Become a Channel Member ...",2669013,68984,4322
Ujjwal Shorts,Every Gamer At Night,Does this happen with you too? #shorts.,177982600,8780768,19243
Preet X,🔴 LIVE - GTA ONLINE GRIND STREAM (#gta5 #gtaonline #gaming #gtavonlinegameplaylive #gameplay #viral),THANKYOU FOR YOUR LOVE AND SUPPORT YOU CAN SIMPLY SUPPORT ME BY LIKING THE STREAM/VIDEO AND ...,120399,403,0
Mikolojim,Going Balls - Balloon ball - #4kgameplay #goingballs #gaming #rollerball4 #ballgame #funny #gameplay,Going Balls is a challenging rolling ball platformer with a road full of unexpected obstacles ahead of you! Easy one-finger ball ...,7566505,21408,81
Amazing Gamingz,Granny Revamp In All Granny Games Atmosphere Full Gameplay | Granny Revamp New Game,Subscribe For More Videos! Don't Forget To Click Notification Bell. My Channel : youtube.com/@AmazingGamingzAG My Second ...,2074272,8894,161
CyberStuffXR,The Most Realistic Video Game NPC,"Olivia Rhodes from Lone Echo has some incredible reactions to the player, even recognising their hand signals! #gaming #shorts ...",8287248,261828,2897
SHN Survival Horror Network,RESIDENT EVIL 9 REQUIEM | Full Game Movie | 4K/60fps | Longplay Walkthrough Gameplay No Commentary,You have entered the home of Horror Gaming ▭▭▭▭▭ ▭▭▭▭▭▭▭▭ Survival Horror Network ▭▭▭▭▭▭▭▭ SHN ...,43627,1270,178
Sap Gaming,GTA 5 Live Run Hulk Run 339 | SAP Gaming #viral #gameplay #gaming #gta #gta5,Join this channel to get access to perks: https://www.youtube.com/channel/UCumtR44SXLgU3z78KbElfLA/join Plays all types of ...,57450,178,0
Cat Games,"Satisfying Mobile Games 2023 - JUICE RUN All Levels Gameplay Walkthrough Android, ios max o5hpd","shorts #Shape #MaxLevel #stickrunner Satisfying Mobile Games 2023 - JUICE RUN All Levels Gameplay Walkthrough Android, ...",68324596,797454,172
Sameer Gaming,Gaming PC 😈 vs Small PC - FREEFIRE SPEED TEST #frrefire #gamingpc #pc #iphone15 #pocox6pro,"Welcome to Sameer Gaming! Your ultimate destination for epic Free Fire gameplay, headshot tricks, tournaments & tips!",3033564,31730,236
dinocornel,PS5 Pro enhanced Stellar Blade is GOTY #theultimatenerd #gamingsetup #gamingroom #gamer,,4766608,0,1034
Dattrax Gaming,WELCOME TO MARVEL&#39;S AVENGERS! 🔥 Marvel Avengers Gameplay #1,"WELCOME TO MARVEL'S AVENGERS! In this Marvel's Avengers Gameplay #1, we jump into the action-packed world of ...",522875,16230,1416
AytGrow26,total gaming vs techno Gamerz🤯 enter your favourite?🤔#ytshorts#viralshorts#shorts#gaming#fyp#newgame,total gaming vs techno Gamerz   enter your favourite??  #ytshorts#viralshorts#shorts#gaming#fyp#newgame Total gaming:- ...,2727604,17409,2112
FF Max GamePlay,FF Max GamePlay - 20K+256,FF Max GamePlay.,52246531,537244,5256
Gaming Brother Pro,going balls || powerful Ball compilation challenge👊let&#39;s find out🤔#youtubeshorts #shorts #goingballs,going balls || powerful Ball compilation challenge  let's find out  #youtubeshorts #shorts #goingballs #gaming #ballgame ...,17489916,0,169
Vinewood Gamerz,GTA 5 - Characters Evolution,GTA 5 - Characters' Evolution #gtav #gtaonline #gtagameplay #gta #gameplay #games #vinewoodgamerz #gta5mods #gta6 I ...,22420282,0,1637
Neetu Gaming,Kamla ne Ullu Banaya 🥹 #neetubisht #gamingchannel #gaming #gameplay #gaming #gamergirl,,7780097,141085,1878
Sonia x Gaming ,Granny  Roblox Multiplayer Gameplay | Granny 1 2 3 Roblox #trending #granny #gameplay #shorts,Granny Roblox Multiplayer Gameplay | Granny 1 2 3 Roblox #trending #granny #gameplay #shorts.,3053536,18296,79
Exeshuu,The Evolution 😱 of Raistar gameplay 😈 @RaiStar  @GyanGaming  #RaiBlazex #raistar #shoerts #tranding,The Evolution of Raistar gameplay @RaiStar @GyanGaming #RaiBlazex #raistar #freefirehighlights #viral Credit: ...,2207378,0,887
Noobinski: Random Gaming,"Eyes the Horror Game Heartbreak 💔😭 Is It My Fault? Multiplayer Co Op, Nightmare Diff Krasue, Mansion",,2539671,17430,62
REMIX GAMING ,miss you old free fire 💗 old ff heroic done ✅👍,,37068518,544438,2122
Hammbone Gaming,Jumping in slightly infested waters.. #subnautica #gaming #gamers #gameplay #games #game #gamer,Like and subscribe! Check out my channel for full length videos and streams!,10722327,434374,2300
OYE PIYUSHHH,Piyush Playing gta 5 | Piyush gameplay videos | #shorts #ytshorts #piyush #piyushgaming,Piyush Playing gta 5 | Piyush gameplay videos | #shorts #ytshorts #piyush #piyushgaming HASTAGS ---- #flashback ...,1803043,10512,0
Eenshiv Gaming Studio ,Reel v/s Game 🎮 ||Indian bikes driving 3d game|| #indianbikedriving3d #trending #shorts,Reel v/s Game ||Indian bikes driving 3d game|| #indianbikedriving3d #trending #shorts Reel v/s Game – Dekhiye Indian ...,4300187,0,39
PK GAMERS,Last Zone Magical Headshot Gameplay - 1 vs 4 | Garena Free Fire #shorts #short #freefireshorts,shorts #short #freefireshorts #viral #trending #funnyshorts #trendingshorts #youtubeshorts #ytshorts #viralshorts #shortsvideo ...,15505286,877942,1179
Yonder887,Professional temple run gameplay,,34678599,361021,418
Sharp Tamil Gaming,Sharp Vs Kamla Katharal Moments 🤣 #shorts,shorts #sharptamilgaming #gta5tamil #tamilgaming #sharp #gta #funnytamilshorts #kamlagame #horrorgaming.,3024613,112692,270
Daquavis,Minecraft trickshot,,56667076,1221670,6744
AS Gaming,Free Fire Gameplay 2024 Vs 2018 🥹❤️ #freefire #asgaming #shorts,Free Fire Gameplay 2024 Vs 2018 ❤️ #freefire #asgaming #shorts.,6149899,250142,1643
GG Bro,💥 Last Zone Fight Conqueror Lobby - PUBG BGMI Gameplay,,468432,5299,15
NASHIK KING YT,&quot;AJJU BHAI Ko AWM Se HEADSHOT Maar Diya 😱💥 | Free Fire Ka Sabse Bada Shot!&quot;,"""AJJU BHAI Ko AWM Se HEADSHOT Maar Diya | Free Fire Ka Sabse Bada Shot!"" Join this channel to get access to perks: ...",9052088,0,1241
Tonde Gamer,No. 1 Bunny Winner 00001 of Nepal 😱,,2686455,126246,1465
Gaming Hasib,Wait For End🤣 || Gaming Hasib ||,About This Video : Wait For End   || Gaming Hasib || #freefire #gaminghasib Contact :- gaminghasib238@gmail.com EDIT BY ...,742524,27887,442
SnyDer Gaming ,Snyder Gaming Live 🛑 Free Fire Handcam PC Gameplay 🖥️🔥 #shortslive #fflive,Don't forget to LIKE and SUBSCRIBE for more daily Free Fire Handcam PC live streams! 🖥️   #freefire #handcam #pc ...,206253,510,0
Champs Network,BATMAN: ARKHAM KNIGHT (RTX 5090) Gameplay Walkthrough Full Game [4K 60 FPS] ULTRA Realistic Graphics,Batman: Arkham Knight 100% Walkthrough Gameplay Part 1 includes a Full Game Review and Full Gameplay of Batman: Arkham ...,245278,2626,62
AMABSH,GTA 6 Gameplay – Leaked Footage | Lucia🔥🤯 #gta6,This video was generated using (Veo 3) AI. It is *not real gameplay* it's (AI) This is a **fan-made concept** meant to imagine ...,1725888,5704,524
Mikey FF,999+ IQ For Solo Dare😍❤️,,15325737,324771,976
DANGER OP,Granny Live Gaming|Granwny Gameplay video live|Horror Escape Game,Granny Live Gaming|Granwny Gameplay video live|Horror Escape Game Hello Guys Welcome to my channel Danger OP I ...,6061588,19486,221
Kaitiac,The BEST CO-OP Game Out NOW feat. @bakedbeettv,,39093472,239154,895
Dr Imran Raza ,Smoking kills #doctor #drrazahealth360 #medical #health #healthtips #smoke #lungs,"Smoking kills Human Anatomy!"" Ever Wondered What's Inside Your Body? In this video, Dr. Raza takes you inside the human ...",23252001,80020,307
Fit Food Doctor ,Food is Medicine | Natural Foods for Every Organ | Health Tips,"Did you know that the right food can heal your body naturally? In this video, we'll show you how specific fruits and vegetables ...",4232325,14542,474
Surgical Knowledge,Fever Medicines #fevermedicine #medicine #medical #information,"Fever is a common health issue that can affect anyone at any time. In this video, we'll discuss the most effective and commonly ...",728001,4412,21
Socialpost Diabetic Care,Importance of Healthy Foods For Your Body | Diet Tips #healthyeating #ytshorts #teluguhealthtips,Importance of Healthy Foods For Your Body | Diet Tips | Socialpost Healthcare #HealthyFood #DietTips #Nutrition ...,10068017,16845,108
Doctor Mike,One Health Hack From Every Type Of Doctor,I'll teach you how to become the media's go-to expert in your field. Enroll in The Professional's Media Academy now: ...,5815426,277219,6773
Healthy Hamesha,बुढ़ापे तक स्वस्थ रहने के 16 नियम | Health Tips in Hindi | Healthy Hamesha,"In this video Dr Saleem Zaidi will tell you about 16 golden rules to live a healthy life. These health tips are essential, if you want to ...",3003058,119304,2619
Fit Food Doctor ,✨ Food is Medicine | How Nature Nourishes &amp; Heals the Body 🌿 #healthyeating #healthylifestyle,Food is Medicine! Nature has provided us with foods that look like the organs they heal. Discover how different fruits and ...,8500454,31258,455
EthnicHealthCare Dr.B.YogaVidhya,Veg Protein #health #healthy #healthtips #healthylifestyle #tips #sprouts #protein #homeremedies,EthnicHealthCare #drbyogavidhya #health Dr. B.Yoga Vidhya B.S.M.S https://www.ethnichealthcare.com/vcard/ Our Branches ...,2278946,83047,223
Doctor Sethi ,Harvard Doctor : Top 5 Foods for Your Kidneys ‼️,"In this video, Dr. Sethi shares the best foods to support kidney function and keep them healthy. Watch now to learn how simple ...",1365583,27035,242
iNDIAN PHARMACY GYAN,Best Multivitamin Medicine | उपयोग और फायदे | शारीरिक कमजोरी | Medical | Treatment | #shorts,Best Multivitamin Medicine | उपयोग और फायदे | शारीरिक कमजोरी | Medical | Treatment ...,9494215,31199,123
GunjanShouts,9-1 Rule for Health Habits,I recently heard about this rule and felt that it's such a convenient way to remember some key health habits. But it's important to ...,15403369,791158,1368
HEALTH TIPS 🌱,HEALTH TIPS 🌱 || HEALTH TIPS IN HINDI. || #shorts #health #explore #healthtips,HEALTH TIPS || HEALTH TIPS IN HINDI. || #shorts #health #explore #healthtips.,299694,6243,46
Dr Sonia Bishnoi ,Ayurvedic tips for Kidney Patient #trendingshorts #healthtips #viral #ayurveda #kidneyhealth,"Dr Sonia's Aarogyam Ayurveda , Opposite Papiha Park , Model Town ,Fatehabad, Haryana Call Us for Appointment or online ...",675497,0,198
Dr Vijay Sehat Tips ,दवाओं की सही जानकारी | दवाओं का सही उपयोग  | Common Medicine Names and their Uses #medicine #gk,दवाओं की सही जानकारी | दवाओं का सही उपयोग | Common Medicine Names and their Uses #medical ...,1321915,9196,15
Socialpost Health,Early Warning Signs of Serious Health Issues | Health Tips #ytshorts #healthyeating #ytshorts,Early Warning Signs of Serious Health Issues | Health Tips | Socialpost Health #HealthTips #BodyWarningSigns ...,3168004,4362,36
Pharmacist Aryan,Essential Antibiotics &amp; Their Uses | Antibiotics List with Benefits | Medical Knowledge&quot;,"Antibiotics के बारे में सही जानकारी! इस वीडियो में हमने बताया है Amoxicillin, ...",4915910,13141,56
Dr Imran Raza ,Dangerous  Food #drrazahealth360 #medical #health #doctor #healthtips #weightloss #fastfood #burger,"Dangerous Food Human Anatomy!"" Ever Wondered What's Inside Your Body? In this video, Dr. Raza takes you inside the human ...",1251423,3358,8
Shubhankar Mishra ,5 points that will keep heart healthy. | Dr. Ramakanta Panda #shorts,hearthealth #healthtips #drramakantapanda 5 points that will keep heart healthy. | Dr. Ramakanta Panda #shorts.,289765,10549,60
ZolieSkinClinic,Healthy diet for glowing skin | What to eat for glowing skin | Food for glowing skin #dermatologist,,4431157,0,222
Fit Food Doctor ,Body Warning Signs You Should Never Ignore | Health Tips #healthyeating #healthylifestyle,Your body always gives you small signals when something is wrong. Ignoring these warning signs can lead to bigger health ...,7153891,10246,92
dr.vidya's health tips,top antibiotics and benefits in telugu #antibiotics #antibiotictreatment #health #teluguhealthtips,top antibiotics and benefits in telugu #antibiotics #antibiotictreatment #health #teluguhealthtips.,1438429,9477,19
Fit Food Doctor ,"Best Foods for Common Health Problems | Eat This for Better Skin, Hair &amp; Health","Want to know which foods can help with dry skin, hair loss, weak immunity, poor eyesight, joint pain, acne, or high cholesterol?",1319846,4929,72
Nalam Karuthi - Health Tips in Tamil,தினமும் வெந்தயம் சாப்பிடுங்கள்👌 #vendhayam #வெந்தயம் #healthbenefits #tamil #nalamkaruthi #health,தினமும் வெந்தயம் சாப்பிடுங்கள்   #vendhayam #வெந்தயம் #healthbenefits #tamil ...,1348860,21308,114
Carewell Tips,Top 4 Powerful Antibiotics Medicine &amp; Their Uses | Health Tips #Shorts #Viral,Top 4 Powerful Antibiotics Medicine & Their Uses | Health Tips #Shorts #Viral इस वीडियो में हम आपको बताने ...,12306,98,0
Doctor Eye Health,How to IMPROVE Your Eye Health - 3 Eye Care Tips,Dr. Allen shares 3 Tips on how to improve your eyesight and eye health! Learn more about eye health and what you can do to see ...,242471,8001,377
Oka Nimisham,Daily Healthy Habits for a Strong Body | Simple Health Tips | Daily Foods That Keep You Disease-Free,Daily Healthy Habits for a Strong Body | Simple Health Tips | Daily Foods That Keep You Disease-Free Discover simple and ...,7621992,14183,26
Fit Food Doctor ,Doctors Don’t Want You to Know This! 😱 | Daily Health Secrets Revealed ✨ #doctorsays #health #diet,Are you looking for simple and natural ways to stay healthy every day? This video shares daily health habits that can boost your ...,8385202,30205,281
Healthy Tips for Healthy Life,Healthy Tips For Healthy Life | Healthy Lifestyle Tips | Ayurvedic Home Remedies | Health Care Tips,Healthy Tips For Healthy Life | Healthy Lifestyle Tips | Ayurvedic Home Remedies | Health Care Tips #short #shorts #shortvideo ...,334183,1599,33
HEALTH TIPS Medical knowledge,UPSSSC ANM REVISION CLASSES Community health nursing BIHAR  ANM NORCET CHO|HSSC| OSSSC| Part-9,Download app link: Download HTMK ACADEMY APP link:https://play.google.com/store/apps/details?id=co.thanos.enkxe ...,2480,252,9
Sukhwinder Singh,Food is medicine #foods #health #healthtips #wellness #wellnesstips #body #medicine,,1148239,15738,66
Fit Food Doctor ,Healthy Habits to Transform Your Life | Simple Routine #healthyeating #healthylifestyle #shorts,"Adopt these 9 simple habits for a healthier and happier life! From daily exercise to meditation and balanced diet, these tips can ...",725913,5933,66
Yum Treats,डॉक्टर के ये 5 राज Health Hindi Healthy Lifestyles Tips|Ayurvedic tipsHealth #viralreels,Healthy Tips For Healthy Life | Health Tips In Hindil Healthy Lifestyles Tips| Ayurvedic Health Tips #shorts #short #shortsfeed ...,392463,0,28
Pharmacist Simranjeet,"Medical Knowledge Everyone Must Know, #medicalknowledge #shortfeed #youtubeshorts #viral #healthtips",Stay healthy and aware with these 18 essential medical knowledge values that everyone should know! From blood pressure ...,11257,62,6
Healthy Nuskhey,Healthy Nuskhey 🙏 #chakras #meditationmusic#432hz #health #healthtips #omletarcade#quotes #gyan #new,,3932049,0,18
Royal Clinic,Food as medicine | Natural health | Healthy lifestyle | Skin care #skincarefoods #foodasmedicine,Food as medicine | Natural health | Healthy lifestyle | Skin care #skincarefoods #foodasmedicine #royalclinicindia Your daily diet ...,63835,222,4
DAISY HOSPITAL,10 HEALTHY HABIT&#39;S | #daisy | #drsharmika | #daisyhospital ...,Daisy Hospital Chennai : https://maps.app.goo.gl/yUtTjL2RCzGLnAPs8 Daisy Hospital Erode ...,2714322,104992,437
Urvashi Agarwal,5 Tips To Improve Digestion and Gut Health | Day 13 of 30 days of Nutri-Tips with Urvashi Agarwal,"In this video, Urvashi Agarwal shares 5 simple yet effective tips to improve your digestion and boost gut health. Whether you're ...",308996,10468,30
English Quotes ,Important Health Tips #health #healthtips #motivation #fitness #shorts,Important Health Tips #health #healthtips #motivation #fitness #shorts important health tips simple health tips health tips health ...,41882,154,2
Fit Food Doctor ,No One Will Tell You These Healthy Daily Habits | Simple Nutrition &amp; Lifestyle Tip #healthylifestyle,"Do you know that just a few simple daily habits can completely transform your health? In this video, I'll share 7 simple yet powerful ...",476196,1377,198
YOGA NIYAM,Dr. Gulati Health Tips #healthtips #health,note: the information sharing in this post is source from the internet and its for general purpose only. consult a health care ...,4610611,103370,453
Carewell Tips,Top 5 Pain Relief Medicine &amp; Their Benefits | Health Tips #Shorts #Viral,Top 5 Pain Relief Medicine & Their Benefits | Health Tips #Shorts #Viral इस वीडियो में हम आपको बताने जा ...,1748,20,1
Healthy Tips for Healthy Life,Healthy Heart | Heart Ko Healthy Kaise Rakhe| Tips For Healthy Heart | Healthy Heart Tips #heart #yt,Healthy Heart | Heart Ko Healthy Kaise Rakhe| Tips For Healthy Heart | Healthy Heart Tips #heart #yt #shorts #short #shortsfeed ...,294589,637,6
SIDDHARTH ,5 tips for your health life style #fitness #gymmotivation #brahmacharya #fitnessdiet,,13401872,552370,564
Carewell Tips,Top 5 Travel Medicine &amp; Their Benefits | Health Tips #Shorts #Viral,Top 5 Travel Medicine & Their Benefits | Health Tips #Shorts #Viral इस वीडियो में हम आपको बताने जा ...,6656,58,0
Total Health Solutions,5 Best Weight Gain Foods 💪 Super Foods for Weight Gain,,8989010,414239,531
Dr ASHUTOSH Ranjan M.B.B.S (PAT)sexologist ,मोटे होने की सुरक्षित दवाई | भूख लगने सुरक्षित दवा |वजन बढ़ाने की दवा - Dr Ashutosh Ranjan,मोटे होने की सुरक्षित दवाई | भूख लगने सुरक्षित दवा |वजन बढ़ाने की दवा ...,1242875,35602,2436
WISE ADVICE,"As a BRAIN Doctor, I’m SHOCKED: THIS Fruit Raises Stroke Risk Overnight | Senior Health Tips","As a BRAIN Doctor, I'm SHOCKED: THIS Fruit Raises Stroke Risk Overnight | Senior Health Tips Are your favorite fruits quietly ...",2050310,62435,15565
Mix Gk Bangla ,general knowledge || quiz | spinal cord #healthtips#gk #tips #shortvideo,general knowledge || quiz | spinal cord #healthtips#gk #tips #shortvideo #healthyfood #health #heathtips #lifestyle #foryou ...,15587813,107660,162
Ayursansaar,18 देसी नुस्खे जो 18 बीमारियों में फायदेमंद | Natural Home Remedies for Health | #shorts #viral,18 देसी नुस्खे जो 18 बीमारियों में फायदेमंद | Natural Home Remedies for Health #shorts ...,5760,16,0
Dr. Cellini,How I Memorized EVERYTHING in MEDICAL SCHOOL - (3 Easy TIPS),Join the Dr. Cellini Family: https://tinyurl.com/DrCellini Here are few of the techniques I used in MED SCHOOL to memorize ...,4284539,132499,3205
News24 Health,বিস্কুট-রুটির সাথে কিংবা ভুল নিয়মে কলা খেলেও বিপদ! | Health Tips Bangla | News24 Health,In this video: বিস্কুট-রুটির সাথে কিংবা ভুল নিয়মে কলা খেলেও বিপদ! | Health Tips ...,159296,1444,33
"Dr Murali Manohar Chirumamilla, MD (Ayu) Official",గుండెను కాపాడే ఔషధం | A medicine that protects the heart | #heart #ytshorts #shorts,"By Dr. Murali Manohar Chirumamilla, M.D. (Ayurveda) Raksha Ayurvedalaya Plot No. 13, H.No: 16-2-67/13, Ramamurthy Nagar ...",272195,9620,30
motivationaldoc,Drain Clogged Sinus &amp; Clear Stuffy Nose!  Dr. Mandell,,5053147,122277,1934
Bryan Johnson,What would your organs order to eat if they could speak?,,12986566,524478,29416
Yum Treats,डॉक्टर के ये 5 राज Health Hindi Healthy Lifestyles Tips|Ayurvedic tipsHealth #viralreels,Healthy Tips For Healthy Life | Health Tips In Hindil Healthy Lifestyles Tips| Ayurvedic Health Tips #shorts #short #shortsfeed ...,392463,0,28
Dr.Robin Sharma,Increase your testosterone naturally without any medicine #dr #health #robinsharma #ayurevda #tips,,177768,4449,28
HEALTH TIPS Medical knowledge,UPSSSC ANM REVISION CLASSES Community health nursing BIHAR  ANM NORCET CHO|HSSC| OSSSC| Part-9,Download app link: Download HTMK ACADEMY APP link:https://play.google.com/store/apps/details?id=co.thanos.enkxe ...,2480,252,9
Fit Food Doctor ,Healthy Habits to Transform Your Life | Simple Routine #healthyeating #healthylifestyle #shorts,"Adopt these 9 simple habits for a healthier and happier life! From daily exercise to meditation and balanced diet, these tips can ...",725913,5933,66
Dr. Manthena Official,ఒంటికి ఐరన్ ఎక్కువగా పట్టాలంటే ఇలా చేయండి ... #iron #hemoglobin #drmanthenaofficial,ఒంటికి ఐరన్ ఎక్కువగా పట్టాలంటే ఇలా చేయండి ... #iron #hemoglobin #drmanthenaofficial ...,692572,15715,33
Fit Bharat,5 tips to naturally build hemoglobin!!,"Boost your hemoglobin naturally! Add green leafy veggies like spinach, coriander, and mint. Eat iron and folate-rich foods to ...",1692755,56199,253
Healthy Tips for Healthy Life,Healthy Tips For Healthy Life | Healthy Lifestyle Tips | Ayurvedic Home Remedies | Health Care Tips,Healthy Tips For Healthy Life | Healthy Lifestyle Tips | Ayurvedic Home Remedies | Health Care Tips #short #shorts #shortvideo ...,334183,1599,33
Healthy Hamesha,21 दिन में यूरिक एसिड से छुटकारा पाएं इस नुस्खे के साथ,Join this channel to get access to perks: https://www.youtube.com/channel/UCys-KuZ7z2KHsPaW4U_lEBQ/join ...,6809623,185462,1225
Fit Food Doctor ,Doctors Don’t Want You to Know This! 😱 | Daily Health Secrets Revealed ✨ #doctorsays #health #diet,Are you looking for simple and natural ways to stay healthy every day? This video shares daily health habits that can boost your ...,8385202,30205,281
Bhagyashree Dassani,#TuesdayTipsWithB Relieve Acidity &amp; Bloating Naturally #recipe #healthy #naturalhack #paachanshakti,"Feeling acidic or bloated more often than you'd like? In this #TuesdayTipsWithB episode, we share a simple and natural remedy ...",8917188,80144,314
Fit Bharat,Your First Drink in the Morning Can Change Everything | Best Morning Habits | Coach Shivangi Desai,"First Drink in the Morning Matters!   After 7-8 hours of fasting overnight, your body wakes up dehydrated—no water, no food, ...",907728,25006,123
Rulingout,Garlic reduces cholesterol- Fact or Myth? #shorts #heart #worldhealthday #rulingout,"Whether you're looking to manage your cholesterol or simply want to learn more about natural remedies, this video is packed with ...",846454,10217,29
Doctor Eye Health,How to IMPROVE Your Eye Health - 3 Eye Care Tips,Dr. Allen shares 3 Tips on how to improve your eyesight and eye health! Learn more about eye health and what you can do to see ...,242471,8001,377
Fit Bharat,Top 5 Tips For Uric Acid | Shivangi Desai,Are you dealing with Uric Acid? Awareness is key. Learn all you can about Uric Acid and its effects on your body. Here are the top ...,2675432,60881,337
Fit Bharat,IMPROVE YOUR POSTURE AND BOOST YOUR HEALTH | SHIVANGI DESAI,"IMPROVE YOUR POSTURE AND BOOST YOUR HEALTH ✊   Poor posture not only looks sloppy, but it can also affect your ...",86727358,1987143,7201
Steroplast Healthcare Ltd,How do you treat a black eye? | Health Tips | YouTube Shorts,What to do if you get a bruised eye. How do you treat a hematoma? #bruisedeye #icepack #eyecare #healthtok #medtok ...,400627,5834,121
Healthy Tips,✅10 Foods to increase testosterone level naturally || Testosterone Booster Foods #hightestosterone,10 Foods to increase testosterone level naturally || Testosterone Booster Foods #hightestosterone #healthytips #shortsfeed #facts ...,5945926,0,516
Royal Clinic,Food as medicine | Natural health | Healthy lifestyle | Skin care #skincarefoods #foodasmedicine,Food as medicine | Natural health | Healthy lifestyle | Skin care #skincarefoods #foodasmedicine #royalclinicindia Your daily diet ...,63835,222,4
GunjanShouts,5 Tips to Weight Loss Without Dieting #shorts,If following a meal plan is not possible for you then follow these simple steps for easy and small wins everyday.,11838743,424856,896
Sukhwinder Singh,Food is medicine #foods #health #healthtips #wellness #wellnesstips #body #medicine,,1148239,15738,66
motivationaldoc,"Instant Stomach, Dizziness, Headache Relief | Dr. Mandell   #shorts","Here is a master acupressure point that can get rid of nausea, stomach upset, dizziness, and headaches in a very short period of ...",3821723,70899,1637
Businessmarket__,💡 Natural Remedies for Every Disease | Simple Home Health Tips in Telugu,Natural Remedies for Every Disease | Simple Home Health Tips in Telugu This video shares easy and natural solutions for ...,1416267,3530,43
Pharmacist Simranjeet,"Medical Knowledge Everyone Must Know, #medicalknowledge #shortfeed #youtubeshorts #viral #healthtips",Stay healthy and aware with these 18 essential medical knowledge values that everyone should know! From blood pressure ...,11257,62,6
